Geoffrey Chaucer | Canterbury Hikâyeleri | Hikâye / Şiir |  | - | Londra dolaylarından Canterbury'deki katedralde bulunan Saint Thomas Becket Mabedi'ne doğru hac yolculuğuna çıkanların, yol boyunca vakit geçirmek için birbirlerine anlattıkları hikâyelerden oluşur. Boccacio'nun Decameron'unu taklit ederek meydana getirilmiş, "bir çerçeve öykü içinde öyküler dizisi" örneğidir. İngiliz edebiyatının ilk yazılı eserlerinden biridir. | Geoffrey Chaucer (14. yy), Shakespeare öncesi İngiliz edebiyatının en önemli şair ve yazarıdır. "İngiliz edebiyatının babası" kabul edilmektedir.
William Shakespeare | Romeo ve Juliet | Tiyatro / Tragedya |  | - | İtalya'nın Verona kentinde yaşayan, birbirlerine düşman ailelerin çocukları olan Romeo ile Juliet'in, aileleri arasındaki nefret yüzünden ölümle son bulan aşkları anlatılır. Shakespeare'in tüm oyunları arasında en çok sahnelenendir. | William Shakespeare (16. yy), Rönesans Dönemi'nin en önemli tiyatro yazarıdır. Dram ve komedi türlerinde nazım ve nesir şeklinde veya nazım-nesir karışık oyunlar yazar. Kin, aşk, dostluk, öç alma gibi evrensel konuları işler.
William Shakespeare | Hamlet | Tiyatro / Tragedya |  | - | Babası öldükten sonra annesiyle evlenen amcasının aslında babasının katili olduğunu öğrenen Danimarka Prensi Hamlet'in öç alma duygusunu ve ölümlerini anlatır. Babasının hayaleti "Babanın canını alan o yılan, şimdi babanın tacını giymekte" der. | -
William Shakespeare | Othello | Tiyatro / Tragedya |  | - | Othello, karısı Desdemona, muhafız komutanı Cassio ve güvendiği akıl hocası Iago arasında geçen olayları anlatan oyunda ırkçılık, aşk, kıskançlık ve ihanet gibi konular ele alınmıştır. | -
William Shakespeare | Kral Lear | Tiyatro / Tragedya |  | - | Bencil olan yaşlı Kral Lear, sadık ve sevgili kızı Cordelia'nın kendisini abartılı bir dil kullanmadan sevdiğini söylemesi üzerine öfkeye kapılarak onu sürgüne gönderir ve tüm servetini öbür kızları Goneril ve Regan arasında paylaştırır. | -
William Shakespeare | Macbeth | Tiyatro / Tragedya |  | - | İktidar hırsını konu alan oyunda kral olmak isteyen Macbeth'in ölümle biten hikâyesi anlatılır. | -
William Shakespeare | Julius Caesar | Tiyatro / Dram |  | - | Roma İmparatoru Sezar'a düzenlenen suikast ve sonrasını anlatır. | -
William Shakespeare | Venedik Taciri | Tiyatro / Komedya |  | - | Cimri bir Yahudi tefeci olan Shylock ile tüccar Antonio arasındaki borç ilişkisini konu alır. | -
William Shakespeare | Soneler | Şiir |  | - | 154 soneden oluşan şiir kitabıdır; aşk, güzellik ve zaman temalarını işler. | -
Thomas More | Ütopya | Ütopya |  | - | İlk edebî ütopya metnidir. Bir ada aracılığıyla ideal bir devlet ve toplum düzeninden bahseder. | Thomas More (16. yy), İngiliz devlet adamı, hukukçu, filozof ve Rönesans dönemi hümanist yazardır.
Francis Bacon | Denemeler | Deneme |  | - | Deneme türünde yazılmış eseridir. Montaigne ile birlikte deneme türünün öncülerindendir. | Francis Bacon (16-17. yy), deneme türünde eser vermiş İngiliz filozof ve devlet adamıdır. "Yeni Atlantis" adlı bir ütopya da kaleme almıştır.
Francis Bacon | Yeni Atlantis | Ütopya |  | - | Hayalindeki toplum düzenini betimlediği ütopyasıdır. | -
John Milton | Kaybolan Cennet (Yitirilen Cennet) | Epik Şiir / Yapay Destan |  | - | Dini içerikli yapay destandır. Yasak meyveyle Şeytan tarafından aldatılan Hz. Âdem'in ve Havva'nın cennetten kovuluşu anlatılır. On iki kitaptan oluşan eser, kafiyesiz yazılmıştır. | John Milton (17. yy), İngiliz şairdir. Dini içerikli yapay destanıyla tanınır.
Daniel Defoe | Robinson Crusoe | Roman / Macera |  | - | Bir deniz aşığı olan Robinson Crusoe, fırtına yüzünden ıssız bir adaya sürüklenir. Adada tek başına yaklaşık 20 yıl yaşamaya çabalar ve bir gün "Cuma" adlı biriyle tanışır. Bir İngiliz gemisiyle adadan kurtulurlar. Endülüslü yazar İbn-i Tufeyl'in Hay bin Yekzan adlı eserinden etkilenerek yazılmıştır. | Daniel Defoe (1660-1731), ada veya macera romanının öncülerinden olan bir yazardır. Araştırmacılar Realist akımın içinde sayar.
Daniel Defoe | Kaptan Singleton | Roman / Macera |  | - | Ailesini hiç tanımamış bir çocuğun korsan olarak yağma yoluyla zenginleşmesini, bu korsanlıklar sırasında edinilen bir dostun yardımıyla pişman olup bu hayattan vazgeçmesini anlatır. | -
Jonathan Swift | Gulliver'in Seyahatleri (Gulliver'in Gezileri) | Roman / Hiciv |  | - | Cerrah-denizci Lemuel Gulliver'ın Liliput (cüceler), Brobdingnag (devler), Laputa (bilim takıntılı gök ada) ve Houyhnhnm (akıllı atlar) diyarlarına yaptığı dört yolculuğu anlatır. Macera kılığındaki sert bir siyasal-toplumsal hicivdir. | Jonathan Swift (18. yy), eserlerinde fantastik unsurlara ve mizaha yer veren İngiliz romancıdır. Sert hicivleriyle tanınır.
Jonathan Swift | Alçak Gönüllü Bir Öneri | Hiciv / Deneme |  | - | İrlanda'daki yoksulluk sorununa dönemin politikalarını acımasızca eleştiren hiciv yazısıdır. | -
Lord Byron | Don Juan | Manzum Hiciv |  | - | Eleştirel bir içeriğe sahip manzum eserinde tüm Avrupa soylularını ve krallarını eleştirir. | Lord Byron (18-19. yy), İngiliz Romantik şairdir. 1823 yılında Yunanların Osmanlılara karşı isyanına bizzat katılmak için Yunanistan'a gitmiş, orada ateşli bir hastalıktan 36 yaşında ölmüştür. Aşırı bireyci bir Romantizmin temsilcisidir. Çanakkale Boğazı'nı yüzerek geçtiği rivayet edilir.
Lord Byron | Childe Harold'ın Gezisi (Genç Harold'ın Yolculuğu) | Şiir / Gezi |  | - | Doğu seyahatlerini anlattığı, yazarına büyük ün kazandıran şiiridir. Yahya Kemal'in "Açık Deniz" şiirinde Byron'a gönderme yapılır. | -
Lord Byron | Kâbil | Şiir |  | - | Tevrat'taki Habil ve Kabil öyküsünü yeniden yorumladığı eseridir. | -
Lord Byron | Sardanapal | Tiyatro |  | - | Asur'un efsanevi son kralı Sardanapal'ı konu etmiştir. Byron, Sardanapal'ı yumuşak mizaçlı ve zevkine düşkün biri olarak tasvir ederken, Abdülhak Hamit zalim ve kan dökücü olarak tasvir etmiştir. | -
Samuel Taylor Coleridge | Kubla Khan | Şiir |  | - | Uyuşturucu aldıktan sonra gördüğü halüsinasyonları, Kubilay Han'ın sarayı gibi tasvir ettiği şiiridir. Romantik ve egzotik imgelerle doludur. | Samuel Taylor Coleridge (18-19. yy), şair, eleştirmen ve filozoftur. İngiltere'de Romantizm akımının kurucuları arasında gösterilir.
Samuel Taylor Coleridge | Biographia Literaria | Eleştiri / Otobiyografi |  | - | Edebiyat eleştirisi ve felsefi düşüncelerini içeren otobiyografik eseridir. | -
Mary Shelley | Frankenstein; or, The Modern Prometheus | Roman / Gotik / Bilim Kurgu |  | - | İsviçreli genç bilim insanı Victor Frankenstein'ın ölü dokulardan bir canlı yaratma girişimini ve bu deneyin trajik sonuçlarını anlatır. Bilimsel ilerlemenin sınırları, insanın Tanrı'ya öykünmesinin ahlaki bedeli ve sorumluluk temalarını işler. Gotik atmosferiyle Romantik dönemin duygusal derinliğini birleştirir ve modern bilim kurgu türünün ilk örneklerinden biri kabul edilir. | Mary Shelley (1797-1851), İngiliz roman ve öykü yazarıdır. Romantik dönem yazarlarındandır. Yaratıcı hayal gücünü, felsefi düşünceyi ve toplumsal eleştiriyi harmanlayan üslubu vardır.
Charles Dickens | David Copperfield | Roman |  | - | Babası ölen, annesi başka biriyle evlenen, küçük yaşta öksüz kalan David Copperfield'ın yaşadığı sıkıntılar ve aşkı anlatılır. Tüm zorluklara rağmen romanın sonunda artık tanınmış bir yazar olan David, Agnes'le evlenip mutlu bir hayat sürer. Yazarın kendi çocukluğundan izler taşıyan otobiyografik romanıdır. | Charles Dickens (19. yy), Realist bir yazardır. Romanlarında titizlikle işlenmiş toplumsal bir ortam yaratır. Kişilerin ruhsal yapısını ve toplumsal çevresini tasvir ve tahlil etmiştir. On iki yaşındayken bir fabrikada çalışmaya başlaması nedeniyle romanlarında işçi sınıfının hayatını gözlemleme fırsatını elde etmiştir.
Charles Dickens | Oliver Twist | Roman |  | - | Yoksullar evinde dünyaya gelmiş bir yetim olan Oliver Twist'in acıklı hayatının yanı sıra Sanayi Devrimi'nin zorlu yıllarını sarsıcı biçimde aktarır. Toplumsal kötülük ve ahlak düşkünlüğünü gözler önüne serip eleştirir. Sürükleyici bir macera romanı niteliği de taşır. | -
Charles Dickens | İki Şehrin Hikâyesi | Roman |  | - | Fransız Devrimi'nin şiddet ve coşku atmosferini Paris ve Londra ekseninde ele alır. Dr. Manette'in evliliği ve Fransız ihtilalinin hayatlarına olan etkisi anlatılır. Aşk ve fedakârlığın giyotinin gölgesinde bile yeşerttiği hayatın romanıdır. | -
Charles Dickens | Büyük Umutlar | Roman |  | - | Yoksulluk içinde büyüyen öksüz yetim Pip'in, gizli bir bağışçı sayesinde Londra'da beyefendiliğe yükselme hayaline kapılışını, ancak bağışçının sandığı kişi olmadığını öğrenince sınıf, suç ve vicdanla yüzleşerek olgunlaşmasını anlatır. | -
Charles Dickens | Antikacı Dükkânı | Roman |  | - | Londra'da bir antikacıda yaşayan "Küçük Nell" ile kumar düşkünü büyükbabasının tefeci Quilp'ten kaçıp İngiltere'yi köy köy dolaşmalarını ve yoksullukla boğuşmalarını anlatır. Yolculuk, Nell'in trajik ölümüyle son bulur. | -
Oscar Wilde | Mutlu Prens | Hikâye (Masal) |  | - | Bir prensin değerli taşlarla süslenen altın heykeli ile onun dostu olan bir küçük kırlangıcın, şehirlerinde yaşayan fakirlere ve ezilenlere yardım etme çabalarını anlatır. 19. yüzyıl İngiltere'sinin sınıf farklılıklarına ve ikiyüzlü ahlak yargılarına eleştiriler içerir. | Oscar Wilde (19. yy), kısa öykücü, romancı, oyuncu ve şairdir. Fikirlerinin ve yaşam tarzının toplumu ahlaksızlaştırdığı iddiasıyla yargılanıp hapis yatmıştır.
Oscar Wilde | Dorian Gray'in Portresi | Roman |  | - | Yakışıklı Dorian Gray'in, bir portreye yaptırdığı büyü sonucu portresi yaşlanırken kendisinin hep genç kalmasını ve bu durumun getirdiği ahlaki çöküşü anlatır. | -
Oscar Wilde | Bülbül ve Gül | Hikâye |  | - | Fakir bir öğrencinin sevdiği kızı dansa götürmek için kırmızı bir güle ihtiyacı vardır. Bülbül, aşk uğruna canını vererek gülü kızartır, ancak kız güle değer vermez. Divan edebiyatındaki bülbül ile gül mazmununu hatırlatır. | -
Jane Austen | Gurur ve Ön Yargı (Aşk ve Gurur) | Roman |  | - | Taşralı bir beyefendinin kızı olan Elizabeth Bennet ile varlıklı ve soylu toprak sahibi Fitzwilliam Darcy arasındaki çatışmayı anlatır. 19. yüzyıl İngiltere'si kırsalında yaşayan taşralı orta sınıfla soyluların yaşamına odaklanır. | Jane Austen (19. yy), İngiliz kadın romancıdır. Romantizm akımının etkisindedir. Romanlarında işlediği yerler, karakterler ve konular çevresindeki küçük toprak sahipleri ve taşralı din adamlarına özgüdür.
Jane Austen | Emma | Roman |  | - | Bir taşra kasabasındaki genç kızların gerçek aşkı arayışını anlatırken, XIX. yüzyıl İngiliz toplumunun katı ve ikiyüzlü geleneklerini sorgular, inceden inceye alaya alır. Yazarın en sevdiği romanı olduğunu söylediği eseridir. | -
Jane Austen | Sağduyu ve Duyarlılık | Roman |  | - | Akıl ve duygu arasındaki dengeyi iki kız kardeş üzerinden işler. | -
George Eliot | Silas Marner | Roman |  | - | Yalnız bir dokumacı olan Silas Marner'ın hayatının, çalınan altınları ve evlat edindiği küçük kızla değişmesini anlatır. | George Eliot (19. yy), asıl adı Mary Anne Evans olan İngiliz romancıdır. Gerçekçi bir yazardır, çağdaş romanın en belirleyici özelliklerinden olan psikolojik çözümlemenin öncüsüdür.
George Eliot | Middlemarch: Taşra Yaşamı Üstüne Bir Çalışma | Roman |  | - | 19. yüzyıl İngiliz taşra yaşamını panoramik bir şekilde anlatan, çok katmanlı romanıdır. | -
Thomas Hardy | Yuvaya Dönüş | Roman |  | - | İngiltere kırsalında yaşayan sıradan insanların hayatlarını, aşklarını ve kaderle olan çarpışmalarını gerçekçi bir şekilde anlatan romanıdır. | Thomas Hardy (1840-1928), İngiliz edebiyatına önemli katkılarda bulunmuş, gerçekçi roman anlayışının gelişimine öncülük etmiştir. İngiltere'nin güneybatısındaki hayali Wessex bölgesini konu alan kır ve köy romanlarıyla tanınmıştır.
Thomas Hardy | Asi Kalpler | Roman |  | - | Wessex bölgesinde geçen aşk ve trajedi romanıdır. | -
Thomas Hardy | Çılgın Kalabalıktan Uzak | Roman |  | - | Bağımsız ruhlu Bathsheba Everdene'in üç farklı erkekle olan ilişkisini anlatan kır romanıdır. | -
Bernard Shaw | Kara Kız | Tiyatro |  | Nobel Edebiyat Ödülü (1925) | Toplumsal içerikli ve insanların gerçekleri açıkça görebilmesini sağlayacak oyunlarındandır. | Bernard Shaw (19-20. yy), Nobel ve Oscar ödüllü İrlandalı yazardır. Altmıştan fazla oyuna imza atmıştır.
Bernard Shaw | Sezar ve Kleopatra | Tiyatro |  | - | Roma ve Mısır arasındaki siyasi ilişkileri ve Sezar ile Kleopatra'nın öyküsünü anlattığı oyunudur. | -
James Joyce | Ulysses | Roman |  | - | Dublin'de gezintiye çıkan iki farklı karakterin 16 Haziran 1904'te yaşadığı 24 saatlik bir zaman dilimini anlatır. Kurgusal temelini Homeros'un Odysseus adlı eseri üzerine kurar. Bilinç akışı tekniğinin en yetkin örneklerinden biridir. Türk edebiyatında modernist romanlara (ör. Tutunamayanlar) etki etmiştir. | James Joyce (20. yy), İrlandalı modernist romancıdır. Klasik roman kurallarını yıkar. Kronolojik zaman akışını değil de insanın bilinçaltının belirlediği zaman ve insan psikolojisini esas alır. Eserlerinde çoğunlukla Dublin kentini anlatır.
James Joyce | Sanatçının Bir Genç Adam Olarak Portresi | Roman |  | - | Yarı otobiyografik romanıdır; Stephen Dedalus'un çocukluktan gençliğe sanatsal ve entelektüel uyanışını anlatır. | -
James Joyce | Dublinliler | Hikâye |  | - | Dublin'de sıradan insanların günlük yaşamlarından kesitler sunan, "epifani" anlarıyla örülü hikâyeler toplamıdır. | -
Virginia Woolf | Dalgalar | Roman |  | - | Altı arkadaşın çocukluktan orta yaşa dek yaşamlarının, onları kuşatan dünyayı algılayışlarının ve kim olduklarını keşfedişlerinin izini sürer. Bilinç akışı tekniğine yoğunlaşılmıştır. | Virginia Woolf (20. yy), modern tekniklerle eser veren İngiliz kadın romancıdır. Kadınların iç dünyalarını ve yaşantılarını feminist bir yaklaşımla işler.
Virginia Woolf | Mrs. Dalloway | Roman |  | - | Bir gün boyunca parti hazırlığı yapan Clarissa Dalloway'in zengin iç monologlarıyla I. Dünya Savaşı sonrası İngiltere'sini ve bireyin bilincini mercek altına alır. | -
Virginia Woolf | Deniz Feneri | Roman |  | - | I. Dünya Savaşı'nın öncesinde ve sonrasında İskoçya'nın Skye Adası'ndaki Ramsay ailesi ve konuklarının öyküsüdür. Zaman ve bilinç akışı merkezdedir. | -
Virginia Woolf | Kendine Ait Bir Oda | Deneme |  | - | Kadın ve edebiyat üzerine yazdığı, feminist eleştirinin temel metinlerinden biri olan denemesidir. | -
George Orwell | 1984 | Roman / Distopya |  | - | Baskıcı liderlerin kurduğu totaliter düzeni konu edinir. Düşünce kontrolü, gözetim toplumu ve dilin manipülasyonu temalarını işler. "Büyük Birader" kavramı bu romandan gelir. "Orwellian" terimi bu eserden türemiştir. | George Orwell (20. yy), eleştirel ve alegorik bir anlatımı tercih eden, medeniyet ve sistem eleştirisi yapan İngiliz yazardır. Distopya niteliğinde eserler verir.
George Orwell | Hayvan Çiftliği | Roman / Fabl / Distopya |  | - | Rus Devrimi'yle birlikte Stalin'in davaya olan sadakatsizliğini siyasal fabl çerçevesinde ele alır. "Bütün hayvanlar eşittir, ama bazı hayvanlar öbürlerinden daha eşittir" sözüyle ünlüdür. | -
George Orwell | Burma Günleri | Roman |  | - | Polis teşkilatında yer aldığı zamanlardaki gözlemlerini anlattığı otobiyografik romanıdır. | -
Aldous Huxley | Cesur Yeni Dünya | Roman / Distopya |  | - | Olaylar, Londra'da 26. yüzyılda geçer. Üreme teknolojisi, uykuda öğretim sayesinde toplum değiştirilmiş, sağlıklı ve teknolojik açıdan gelişmiş görünürken aile, kültürel çeşitlilik, sanat, edebiyat, felsefe gibi değerler ortadan kaldırılmıştır. Hazcı bir toplum yaratılmıştır. Distopya türünün önemli bir örneğidir. | Aldous Huxley (20. yy), romanları ve denemeleriyle tanınmış İngiliz yazardır. Parapsikoloji ve mistik temelli felsefelerle ilgilenmiştir.
Aldous Huxley | Ses Sese Karşı | Roman |  | - | Toplum ve birey arasındaki ilişkiyi sorgulayan romanıdır. | -
Aldous Huxley | Kadim Felsefe | Deneme |  | - | Dünya dinlerindeki mistik ortak paydaları incelediği düşünsel eseridir. | -
H. G. Wells | Zaman Makinesi | Roman / Bilim Kurgu |  | - | Bir bilim insanının icat ettiği zaman makinesiyle geleceğe yaptığı yolculuğu anlatır. | H. G. Wells (1866-1946), Jules Verne gibi gelecekteki teknolojik gelişmeleri anlattığı kitaplarıyla "bilimkurgu" dalının öncülerinden kabul edilmektedir.
H. G. Wells | Dünyaların Savaşı | Roman / Bilim Kurgu |  | - | Marslılarla dünyalılar arasındaki savaşı anlatır. | -
H. G. Wells | Görünmez Adam | Roman / Bilim Kurgu |  | - | Kendini görünmez kılmayı başaran bir bilim adamının öyküsüdür. | -
H. G. Wells | Dr. Moreau'nun Adası | Roman / Bilim Kurgu |  | - | Issız bir adada hayvanları insanlaştırmaya çalışan bir bilim insanının ürkütücü deneylerini anlatır. | -
T. S. Eliot | Çorak Ülke | Şiir |  | Nobel Edebiyat Ödülü (1948) | Modernist şiirin en önemli yapıtlarından biridir. I. Dünya Savaşı sonrası Avrupa'nın ruhsal çöküntüsünü mitolojik ve edebi göndermelerle işler. | Thomas Stearns Eliot (T. S. Eliot) (20. yy), şair, oyun yazarı ve edebiyat eleştirmenidir. İngiliz şiirini yeniden canlandıran modernist şiirin önemli isimlerinden biridir.
T. S. Eliot | Dört Kuartet | Şiir |  | - | Zaman, sonsuzluk ve ruhsal arayış temalarını işleyen dört bölümlük şiir dizisidir. | -
Agatha Christie | On Küçük Zenci | Roman / Polisiye |  | - | Bir adada mahsur kalan on kişinin sırayla öldürülmesini konu alır. Polis romanının klasikleri arasındadır. | Agatha Christie (1890-1976), İngiliz yazar, polisiye edebiyatın en önemli isimlerinden biridir. Dedektif Hercule Poirot karakterinin yaratıcısıdır. 80 dedektif romanı ve birçok oyuna imza atmıştır.
