Beydeba | Kelile ve Dimne | Fabl | 2017 Türkçe ÖABT'de sorulmuştur. |  | Doğu edebiyatının en önemli fabl örneklerindendir. | Antik Hindistan'da yaşamış, \"Kelile ve Dimne\" adlı dünyaca ünlü fabl ve masal kitabının yazarı kabul edilen bilge.
Wilhelm Grimm | Çocuk ve Ev Masalları | Masal | 2018 Türkçe ÖABT'de sorulmuştur. |  | (1812) Grimm Kardeşler tarafından derlenmiştir. 1856 yılında genişletilmiş baskısı yapılmıştır. | Kardeşi Jacob ile birlikte Alman halk masallarını (Grimm Masalları) derleyen ve dünya çocuk edebiyatına kazandıran ünlü dilbilimci ve yazar.
Lewis Carroll | Alice Harikalar Diyarında | Roman | 2019 Türkçe ÖABT'de sorulmuştur. |  | (1865) Alice, bahçelerinde telaşlı şekilde koşturan bir tavşanı takip ederek bir deliğe girer ve kendini Harikalar Diyarı'nda bulur. | \"Alice Harikalar Diyarında\" eserinin yazarı, İngiliz matematikçi ve fotoğrafçı.
Jonathan Swift | Güliver'in Gezileri | Roman | 2019, 2023 Türkçe ÖABT ve 2016 Sınıf ÖABT'de sorulmuştur. |  | (1726) Güliver, gemilerde doktor olarak çalışırken fırtına sonucu önce Liliput Ülkesi'nde minik insanlarla, sonra Devler Ülkesi Brobdingnag'da dev insanlarla karşılaşır. Her iki ülkede de çeşitli maceralar yaşadıktan sonra evine döner. | 
Jules Verne | 80 Günde Devri Alem | Roman | 2019 Türkçe ÖABT'de sorulmuştur. |  | (1873) Phileas Fogg, arkadaşlarıyla dünyayı 80 günde dolaşabileceğine dair iddiaya girer. Yanına uşağını alarak dünya turuna başlar. Dedektif Fix tarafından takip edilir. Hindistan'da bir prensesin hayatını kurtarır ve yolculuğunu zamanında tamamlayarak iddiayı kazanır. | 
Robert Louis Stevenson | Define Adası | Roman | 2019 Türkçe ÖABT'de sorulmuştur. |  | (1883) Jim Hawkins, korsan Kaptan Flint'in hazinesinin yerini gösteren haritayı bulur. Doktor Livesey ve Sir Trelawney ile birlikte hazineyi aramak için Define Adası'na gider. Gemideki aşçı Silver'in korsan olduğunu öğrenirler ve onları etkisiz hale getirerek hazineyi bulurlar. | 
Jose Mauro de Vasconcelos | Şeker Portakalı | Roman | 2019 Türkçe ÖABT'de sorulmuştur. |  | (1968) Zeze, çevresindekiler tarafından 'baş belası' olarak adlandırılan yaramaz bir çocuktur. Yoksul ailesi tarafından anlaşılamayan Zeze, bahçelerindeki portakal ağacı ile arkadaşlık kurar. Bay Portuga ile tanışmasıyla hayatı değişir ancak Bay Portuga'nın bir trafik kazasında ölmesiyle Zeze yıkılır. | 
Hans Christian Andersen | Çirkin Ördek Yavrusu | Masal | 2021 Türkçe ÖABT'de sorulmuştur. |  | (1843) Andersen Masalları'ndan biridir. | 
Hans Christian Andersen | Küçük Deniz Kızı | Masal |  |  | (1837) | 
Hans Christian Andersen | Karlar Kraliçesi | Masal |  |  | (1844) | 
Hans Christian Andersen | Küçük Kibritçi Kız | Masal |  |  | (1845) | 
Hans Christian Andersen | Küçük Prenses ve Bezelye Tanesi | Masal |  |  | (1835) | 
Hans Christian Andersen | Uçan Sandık | Masal |  |  | (1839) | 
Hans Christian Andersen | Kral Çıplak (İmparatorun Yeni Giysileri) | Masal |  |  | (1837) | 
Antoine de Saint Exupéry | Küçük Prens | Roman | 2022 Türkçe ÖABT'de eser içeriği ile sorulmuştur. |  | (1943) Bir pilotun çölde uçağının düşmesiyle başlar. Pilot, başka bir gezegenden gelen Küçük Prens ile tanışır. Küçük Prens, gezegeninde bir gül yetiştirmiştir. Farklı gezegenleri gezip çeşitli yetişkinlerle tanıştıktan sonra Dünya'ya gelir ve bir tilkiyle karşılaşır. Tilki ona 'İnsan ancak kalbiyle doğruyu görebilir. Asıl önemli olan gözle görülmez.' dersini verir. | 
Eleanor H. Porter | Pollyanna | Roman | 2024 Türkçe ÖABT'de eser içeriği ile sorulmuştur. |  | (1913) Pollyanna, kimsesiz kalınca teyzesi Poolly'nin yanına gönderilir. Teyzesi kuralcı ve otoriterdir. Pollyanna, 'mutluluk oyunu' ile hem teyzesini hem de kasabadaki mutsuz insanları mutlu etmeyi başarır. Geçirdiği trafik kazası sonucu sakat kalmasına rağmen umudunu yitirmez ve yeniden yürümeyi başarır. | 
Grimm Kardeşler | Bremen Mızıkacıları | Masal | 2025 Türkçe ÖABT'de sorulmuştur. |  | Grimm Kardeşler tarafından derlenen ünlü masallardandır. | 
Grimm Kardeşler | Parmak Çocuk | Masal | 2025 Türkçe ÖABT'de sorulmuştur. |  | | 
Grimm Kardeşler | Hansel ve Gretel | Masal | 2025 Türkçe ÖABT'de sorulmuştur. |  | | 
Grimm Kardeşler | Pamuk Prenses ve Yedi Cüceler | Masal |  |  | | 
Grimm Kardeşler | Rapunzel | Masal |  |  | | 
Grimm Kardeşler | Fareli Köyün Kavalcısı | Masal |  |  | | 
Daniel Defoe | Robinson Crusoe | Roman | 2016 Sınıf ÖABT'de sorulmuştur. |  | (1719) Robinson Crusoe, deniz tutkusuyla ailesinin rızası olmadan yola çıkar. Kaza sonrası ıssız bir adada mahsur kalır. Yıllar sonra Cuma adında bir yerliyi kurtarır. Ona din ve dil öğretir. Sonunda bir İngiliz gemisiyle İngiltere'ye döner. | 
Mark Twain | Tom Sawyer'ın Maceraları | Roman | 2016 Sınıf ÖABT'de sorulmuştur. |  | (1876) Tom, teyzesinin yanında yaşayan yaramaz bir çocuktur. Arkadaşı Huck ile mezarlıkta bir cinayete tanık olurlar. Tom mahkemede gerçek suçluyu açıklar ve kahraman olur. Kızılderili Joe'nun hazinesini bularak zengin olurlar. | 
Mark Twain | Huckleberry Finn'in Maceraları | Roman |  |  | (1884) Huck Finn, baskıcı babasından ve toplumdan kaçarak kaçak köle Jim ile Mississippi Nehri boyunca maceralar yaşar. Roman, özgürlük arayışı, ırkçılık ve ahlaki çatışma temalarını işler. | 
Jules Verne | Dünya'nın Merkezine Yolculuk | Roman | 2016 Sınıf ÖABT'de sorulmuştur. |  | (1864) Bilim kurgu türünün ilk örneklerindendir. | 
Jules Verne | Balonla Beş Hafta | Roman |  |  | (1863) | 
Jules Verne | Aya Seyahat | Roman |  |  | (1865) Amerikan İç Savaşı sonrası Silah Kulübü üyeleri, Ay'a gidecek bir uzay gemisi inşa etme hedefi belirler. | 
Jules Verne | Kaptan Grant'ın Çocukları | Roman |  |  | (1868) | 
Jules Verne | Denizler Altında Yirmi Bin Fersah | Roman |  |  | (1870) | 
Jules Verne | Ayın Etrafında | Roman |  |  | (1870) | 
Binbir Gece Masalları | Ali Baba ve Kırk Haramiler | Masal | 2019 Sınıf ÖABT'de sorulmuştur. |  | Binbir Gece Masalları'ndan biridir. | 
Binbir Gece Masalları | Alaattin ve Lambası | Masal | 2019 Sınıf ÖABT'de sorulmuştur. |  | Binbir Gece Masalları'ndan biridir. | 
Binbir Gece Masalları | Gemici Sinbad Masalları | Masal | 2019 Sınıf ÖABT'de sorulmuştur. |  | Binbir Gece Masalları'ndan biridir. | 
Erich Kästner | Uçan Sınıf | Roman |  |  | (1933) Johann Sigismund Lisesi öğrencileri, Noel'de sergilemek için 'Uçan Sınıf' adında bir tiyatro oyunu yazarlar. Arkadaşları rakip okul öğrencileri tarafından kaçırılınca onu kurtarmak için düello yaparlar. Öğretmenleri Justus'a eski arkadaşını bularak sürpriz yaparlar. | 
Erich Kästner | Açıkgöz Budalalar | Roman |  |  | | 
Erich Kästner | Küçük Hafiyeler | Roman |  |  | | 
Erich Kästner | Hayvanlar Toplantısı | Roman |  |  | | 
Erich Kästner | Palavracı Baron | Roman |  |  | | 
Michael Ende | Momo | Roman |  |  | (1973) Momo, eski bir tiyatro harabesinde yaşayan sekiz yaşında bir kız çocuğudur. | \"Bitmeyecek Öykü\" ve \"Momo\" gibi fantastik çocuk edebiyatı klasiklerinin Alman yazarı.
Cristophe Schmid | Paskalya Yumurtaları | Öykü |  |  | | 
Waldemar Bonsels | Arı Maya | Roman |  |  | (1912) | 
La Fontaine | Hayvan Masalları | Fabl |  |  | (1668) Kurtla Kuzu, Karga ile Tilki, Ağustos Böceği ile Karınca, Horozla Tilki gibi fablları içerir. | 
Charles Perrault | Uyuyan Güzel | Masal |  |  | (1697) Charles Perrault 'Çocuk Kitaplarının Babası' olarak bilinir. | 
Charles Perrault | Kırmızı Başlıklı Kız | Masal |  |  | (1697) | 
Charles Perrault | Külkedisi | Masal |  |  | (1697) | 
Charles Perrault | Çizmeli Kedi | Masal |  |  | (1697) | 
Charles Perrault | Parmak Çocuk | Masal |  |  | (1697) | 
Hector Malot | Kimsesiz Çocuk | Roman |  |  | (1878) | 
