Montaigne | Denemeler | Deneme |  | - | Deneme türünün ilk örneğidir. Yazar bu eserinde insanlara ders vermeden doğruları göstermeye çalışır. "Ben ne biliyorum?" sorusunu merkeze alarak şüpheciliği, özgür düşünceyi ve öz eleştiriyi savunmuştur. Felsefeyi günlük hayatın deneyimleriyle birleştirir. Sabahattin Eyüboğlu tarafından Türkçeye çevrilmiştir. | Montaigne (16. yy), deneme türünün öncüsüdür. Hümanizm ve Klasisizm akımına bağlıdır. Modern anlamda "deneme" türünün kurucusu kabul edilir. Bireyin iç dünyasına yönelmiş, felsefeyi günlük hayatın deneyimleriyle birleştirmiştir.
Pierre Corneille | Le Cid (El Cid) | Tragedya |  | - | Aile şerefi için sevdiği Jimena'nın babasını öldürmek zorunda kalan Don Rodrigo ile kader tarafından babasının öcünü almakla sevgilisinin hayatı arasında seçime zorlanan Jimena'nın dokunaklı hikâyesini anlatır. Abdülhak Hamit, Nesteren adlı eserini bu oyuna nazire olarak yazmıştır. | Pierre Corneille (17. yy), Klasisizmin ilkelerini uygulayan ilk büyük tragedya şairidir. Eserlerinde kişisel irade, onur, görev ve aşk gibi temaları çatıştırır. Türk edebiyatında özellikle Abdülhak Hamit Tarhan'ı etkilemiştir.
Pierre Corneille | Horace | Tragedya |  | - | Roma ve Alba şehirlerini temsilen seçilen üç Horatii kardeş ile üç Curiatii kardeş arasındaki savaşı anlatır. Mücadeleyi genç Horace kazanır. Abdülhak Hamit'in eserlerine etki eden önemli bir eserdir. | -
Pierre Corneille | Cinna ya da Augustus'un Merhameti | Tragedya |  | - | Roma İmparatoru Augustus dönemini konu alır. | -
Jean Racine | Andromaque (Andromak) | Tragedya |  | - | Yunan mitolojisinden alınma, tutkulu bir aşk öyküsünü anlatır. | Jean Racine (17. yy), Klasisizm akımına bağlı tragedya şairidir. Üç birlik kuralına uyarak yazdığı eserlerde konuları mitolojiden almış, kadın karakterleri daha baskın duruma getirmiştir. Psikolojik çözümlemelere büyük yer vermiştir. Anlatım dili son derece ölçülü, sade ve etkilidir. Abdülhak Hamit Tarhan'ı etkilemiştir.
Jean Racine | Bajazet (Bayazit) | Tragedya |  | - | Osmanlı sarayındaki iktidar ve gönül ilişkilerini konu alır. IV. Murat'ın kardeşi Şehzade Bayezit'i 1635'te Revan Seferi'ne çıkarken boğdurmasını, haremde geçen aşk ve entrika dolu kurgusal bir öykü içinde anlatır. Racine bu eseri 1672'de yazmıştır. | -
Jean Racine | Phèdre (Phaidra) | Tragedya |  | - | Derin, şiirsel bir trajedidir. Aşk, tutku, kıskançlık ve kader temalarını işler. | -
Jean Racine | İphigénie | Tragedya |  | - | Yunan mitolojisinden konuları işleyen tragedyasıdır. | -
Molière | Cimri | Komedya / Töre ve Karakter Komedyası |  | - | Harpagon adlı zengin ve oldukça cimri bir adamın başından geçenleri anlatır. Harpagon, kızını sevdiği gençle değil zengin bir ihtiyarla, oğlunu da zengin bir dul kadınla evlendirmek ister. Oğlunun uşağı Harpagon'u yola getirmek için para dolu çekmecesini çalar. Harpagon çekmecesini geri alma karşılığında çocuklarının istedikleri kişilerle evlenmelerine razı olur. 17. yüzyıl Parisli bir burjuva ailesini ve dönemin ahlak anlayışını gözler önüne serer. | Molière (17. yy), Klasisizm akımına mensuptur. Komedya alanındaki eserleriyle tanınır. Töre ve karakter komedyasının kurucusudur. Toplum ve kişilerdeki eksikleri, gülünçlükleri sergilerken düşündürmeyi de amaçlar. Sonradan görme zenginler, hastalarını soymaya çalışan doktorlar, bilgiçlik taslayan cahil kadınlar, dini çıkarlarına alet eden insanlar ile cimrileri anlatır. Ahmet Vefik Paşa, Molière'in 16 eserini tercüme etmiş; Tanzimat tiyatrosunu etkilemiştir.
Molière | Tartuffe (Tartüf) | Komedya |  | - | Zengin bir adamın, ailesindeki ve çevresindeki kimseyi dinlemeden evine yerleştirdiği sahtekâr bir sofu ile hem kendinin hem de çevresindekilerin hayatını beter etmesini anlatır. Dini çıkarlarına alet eden insanları hicveder. | -
Molière | Gülünç Kıbarlar | Komedya |  | - | Aristokrasi ve soyluluğa özenen ve onlar gibi davranan taşralı iki genç kız olan Cathos ve Madelon'u konu edinir. | -
Molière | Zoraki Hekim | Komedya |  | - | Dayaktan kurtulmak için kendine doktor süsü veren oduncu Sganarelle'in hikâyesini anlatır. Sahte tıp mizahıyla bir aşkı kavuşmaya ulaştırır. | -
Molière | Zorla Evlenme | Komedya |  | - | Yaşlı Sganarelle'in genç Dorimene'le evlenmek isterken aldığı akıllarla işlerin sarpa sarmasını ve istemediği bir evliliğe sürüklenmesini anlatır. | -
Molière | Kibarlık Budalası | Komedya |  | - | Zengin tüccar Jourdain'in soylu olma hevesiyle ders üstüne ders alıp dalkavuklara kanarak gülünç duruma düşmesini anlatır. | -
Molière | Hastalık Hastası | Komedya |  | - | Argan, kızını bir doktora vermek ister; hekimlik taslayanların düzeni açığa çıkar. | -
Molière | Kocalar Mektebi | Komedya |  | - | Kıskanç Sganarelle'in nişanlısını sıkı denetlemesi ve genç kadının onu atlatıp sevdiğiyle evlenmesini anlatır. | -
Molière | Bilgiç Kadınlar | Komedya |  | - | Kendini "âlim" sanan salon kadınlarının palavracı bilginlere kanmasını; gösteriş merakının aile düzenini bozmasını anlatır. | -
La Fontaine | Fabller | Fabl |  | - | Aisopos (Ezop) ve Beydaba'dan yararlanarak yazdığı manzum fabllarıdır. Kahramanları çoğunlukla hayvanlardan oluşan öğüt verici masalcıklardır. Şinasi ve Orhan Veli tarafından Türkçeye tercüme edilmiştir. | La Fontaine (17. yy), Klasisizm akımına mensuptur. Özellikle fabl türüyle tanınır.
Jean-Jacques Rousseau | İtiraflar | Anı / Otobiyografi |  | - | Kendi hayatını büyük bir açık sözlülükle anlattığı otobiyografik eseridir. | Jean-Jacques Rousseau (18. yy), Romantizmin öncülerindendir. Fransız İhtilalinin hazırlayıcılarındandır. Siyaset, özgürlük, tabiat ve eğitim hakkındaki görüşleriyle tanınır. Aklın değil duyguların ve doğal içgüdülerin gereklerini karşılamak gerektiğini söyler. Bireyselliği ve doğayı gündeme getirir.
Jean-Jacques Rousseau | Toplum Sözleşmesi | Siyaset / Felsefe |  | - | Modern demokrasi anlayışının temelini oluşturan eserlerden biridir. | -
Jean-Jacques Rousseau | Emile (Emil) | Eğitim / Roman |  | - | Çocuk eğitimiyle ilgili ünlü eseridir. Rousseau, çocukların doğal ortamda ve doğa örnek alınarak eğitilmesi taraftarıdır. Ziya Paşa tarafından Türkçeye tercüme edilmiştir. | -
Jean-Jacques Rousseau | Yeni Heloise | Roman |  | - | Mektup tarzında yazılmış romandır. | -
Alphonse de Lamartine | Şairane Düşünceler | Şiir |  | - | Tabiat, aşk ve din konularını işlediği şiirleridir. | Alphonse de Lamartine (18. yy), Romantizmin etkili sanatçılarındandır. Şiirlerinde tabiat, aşk ve din konularını işlemiştir. Kısa hikâye ve romanları da vardır. Tanzimat ve Servetifünun sanatçılarını etkilemiştir. 1833'te çıktığı Doğu yolculuğu sırasında İstanbul'a da uğramış ve Osmanlı Tarihi adlı eserini yazmıştır.
Alphonse de Lamartine | Graziella | Roman |  | - | Napoli kentine yaptığı bir gezi sırasında bir balıkçının torununa (Graziella) âşık olan genç bir Fransız'ı anlatır. Lamartine'in Napoli yolculuğu sırasında tuttuğu günlüklerden yola çıkarak yazdığı bu roman, yazarın "kişisel günlüğünden yırtılmış bir sayfa" olarak anılır. | -
Alphonse de Lamartine | Raphael | Roman |  | - | Raphael adlı bir gencin tutkulu aşkı anlatılmaktadır. | -
Alphonse de Lamartine | Göl (şiir) | Şiir |  | - | Sadullah Paşa tarafından Türkçeye tercüme edilen ünlü şiiridir. | -
Chateaubriand | Atala | Roman |  | - | Aşkı ile dinî inancı arasında bir seçim yapmak durumunda olan Kuzey Amerika yerlilerinden genç bir kız olan Atala'nın hikâyesi anlatılır. Yerli bir kadınla Hristiyan bir erkeğin (Chatcas) aşkı konu edilir. Recaizade Mahmut Ekrem tarafından önce 1871'de roman, 1873'te ise Atala yahut Amerika Vahşileri adıyla tiyatro olarak tercüme edilmiştir. | Chateaubriand (18-19. yy), Romantizmin temsilcilerindendir. Eserlerinde din, aşk ve egzotizm temaları öne çıkar. Amerika'daki yerlileri ve kültürlerini işlemiştir.
Chateaubriand | René (Rene) | Roman |  | - | Yazarın iç dünyasını yansıtan, melankolik karakteriyle Romantik akımın tipik örneğidir. | -
Chateaubriand | Mezar Ötesinden Anılar | Anı |  | - | Napolyon dönemini anlattığı, çocukluğundan yaşlılığına uzanan yaşam öyküsü ile dönemin Fransız tarihinin ve Romantik çağın ruhunun canlı bir portresini çizdiği eseridir. | -
Alexandre Dumas-Père | Üç Silahşörler | Roman / Tarihi Macera |  | - | Fransa'da XIII. Louis döneminde kralın muhafız birliğinde görev yapan Athos, Porthos ve Aramis adlı üç silahşöre katılmak üzere Paris'e giden D'Artagnan adlı gencin maceralarını konu alır. | Alexandre Dumas-Père (19. yy), macera türündeki tarihi romanlarıyla tanınan Romantik bir yazardır. Daha çok 16. ve 17. yüzyılın tarihsel olaylarını konu alan üç yüzden fazla roman yazmıştır. Döneminin sevilen ve çok okunan Romantik yazarları arasındadır.
Alexandre Dumas-Père | Monte Cristo Kontu | Roman / Tarihi Macera |  | - | Olaylar 1815-1839 yıllarında Fransa, İtalya ve bazı Akdeniz adalarında geçer. Düşmanlarının hazırladığı bir tuzakla suçsuz yere hapse atılan Edmond Dantés'nin uzun mahkûmiyetten sonra felaketine neden olanlardan intikam almasını konu edinir. Ahmet Mithat, Hasan Mellah adlı romanını bu eserden esinlenerek yazdığını söyler. | -
Alexandre Dumas-Père | Demir Maske | Roman / Tarihi Macera |  | - | 1600'lü yılların Fransa'sında geçen kraliyet erkanını ve sosyete içerisindeki entrikaları anlatır. | -
Alexandre Dumas-Père | Siyah Lale | Roman |  | - | Hollanda'da lale soğanı yetiştirme tutkusu etrafında gelişen tarihi macera romanıdır. | -
Victor Hugo | Sefiller | Roman |  | - | Yakınlarını doyurmak için ekmek çalmak zorunda kalıp hapse düşen ve suçlu damgası yiyen Jean Valjean ile polis müfettişi Javert arasında sürüp giden kovalamacanın hikâyesi üzerine kuruludur. 19 yıl hapis yatan Jean Valjean çıktıktan sonra herkese iyilik yapmaya başlar; Cosette'i evlat edinir ve onu Marius'la evlendirir. | Victor Hugo (19. yy), şiir, roman ve oyunlarında tabiat, özgürlük, milliyetçilik, adalet gibi bireysel ve toplumsal konulara yer vermiştir. Romantizm akımının önde gelen ismidir. Mücadeleyle geçen hareketli yaşamında halkın sevgisini kazanmıştır. Namık Kemal ve Abdülhak Hamit Tarhan'ı etkilemiştir.
Victor Hugo | Notre Dame'ın Kamburu | Roman |  | - | Bir kilisede zangoçluk yapan çirkin ve kambur Quasimodo'nun güzel bir Çingene kızı olan Esmeralda'ya olan aşk ve tutkusunu anlatır. Eser aynı zamanda XI. Louis dönemini anlatan tarihsel bir romandır. Paris'in iyiliğin ve kötülüğün iki yüzü de anlatılır. Romantizm akımının harika bir örneğidir. | -
Victor Hugo | Hernani | Tiyatro |  | - | 1500'lerin başlarında İspanya'da aynı kadına âşık olan bir kral, bir dük ve bir haydudun intikam dolu hikâyesi anlatılır. | -
Victor Hugo | Cromwell | Tiyatro |  | - | Bu dramın ön sözünde hem Romantizmin hem de dram türünün ilkelerini ortaya koymuştur. | -
Victor Hugo | Bir İdam Mahkumunun Son Günü | Roman |  | - | İdam cezasına çarptırılmış bir mahkûmun son gününü anlatır; ölüm cezasına karşı bir manifestodur. | -
Honoré de Balzac | Goriot Baba | Roman |  | - | Zenginken yoksul duruma düşen Goriot adlı bir kişi aracılığıyla bir babanın evlatlarına duyduğu derin sevgiyi ve onun dramını bir pansiyon üzerinden anlatır. Goriot Baba iyiliğin ve saflığın, kızları Delphine ve Anastasia kötülüğün ve nankörlüğün temsilcisidir. Memduh Şevket Esendal'ın Ayaşlı ile Kiracıları ile pansiyon yaşamını ele almaları bakımından benzerlik taşır. | Honoré de Balzac (19. yy), Realist bir romancıdır. Romanlarını "İnsanlık Komedyası" başlığı altında yayımlar. Ayrıntılı tasvirler yapar. Romantik edebiyat döneminde yaşamış olsa da realizmin müjdecisi olmuştur. Kişileri ve toplumu en ince ayrıntılarıyla incelemiş, insanlar arası ilişkileri dikkatli bir şekilde gözlemlemiştir.
Honoré de Balzac | Vadideki Zambak | Roman |  | - | Kocasıyla mutlu olmayan ama ona ihaneti de kendine yakıştıramayan Henriette ile çocukluğunun bütün acılarını onun dizinde bir ana sevgisiyle karışık huzur içinde gideren Felix arasındaki duygusal ilişkiyi ve imkânsız aşkı işler. O dönem Fransız toplum hayatı hakkında realist gözlemler içerir. 19. yüzyıl Fransız edebiyatında Romantizm ile Gerçekçilik akımlarının birleştiği yerde ortaya çıkan büyük bir aşk romanıdır. | -
Honoré de Balzac | Eugénie Grandet | Roman |  | - | Zengin fakat cimri babasının gölgesinde aşkı, yası, acıyı tadan Eugénie'nin dokunaklı hikâyesini anlatır. Bencilliği tüm ilkelliği içinde vurgular. | -
Honoré de Balzac | Köy Hekimi | Roman |  | - | Taşrada yaşayan bir doktorun çevresindeki insanlara yardım etme çabasını anlatır. | -
Honoré de Balzac | Sönmüş Hayaller | Roman |  | - | Taşradan Paris'e gelen genç bir şairin hayal kırıklıklarını anlatır. | -
Stendhal | Kırmızı ve Siyah | Roman |  | - | Yetenekli ve yükselme isteğiyle dolu bir köy çocuğu olan Julien Sorel'in hikâyesidir. "Kırmızı" ordunun kıyafetlerini ve devrim düşüncesini, "siyah" ise ruhban sınıfının cüppelerini ve din düşüncesini simgeler. 19. yüzyıl Fransa'sının bütün kesimlerine gerçekçi eleştiriler yöneltilmiştir. Yükseklere tırmanma tutkusunun yansımalarını gösterir. | Stendhal (Henri Beyle) (19. yy), Realist bir romancıdır. "Roman, büyük bir yolun üstünde gezdirilen bir aynadır" sözüyle tanınır. Başarılı gözlemleri, kişilik çözümlemeleri ve anlatımı ile başarı kazanmıştır.
