Homeros | İlyada | Destan |  |  |  | 
Homeros | Odysseia | Destan |  |  |  | 
Hesiodos | İşler ve Günler | Didaktik Şiir |  | - | Çalışkanlık, adalet ve üretkenlik gibi temaları işleyen didaktik bir eserdir. | Hesiodos (MÖ 7. yy), didaktik şiir türünün kurucularındandır. Toplumsal düzen ve ahlâk şiirlerinde ön plandadır.
Hesiodos | Theogonia (Tanrıların Yaratılışı) | Didaktik Şiir |  | - | Tanrıların ve evrenin doğuşunu anlatan eseridir; mitolojik düşüncenin sistemleştirilmesine katkı sunmuştur. | -
Sappho | (Lirik şiirleri) | Lirik Şiir |  | - | Şiirlerinde en çok aşk konusunu işlemiştir. | Sappho (MÖ 7. yy), lirik şiirin öncüsü olan kadın şairdir. Lesbos (Midilli) adasında doğmuştur.
Aisopos (Ezop) | Fabllar | Fabl |  | - | Fabl türünün kurucularından olan Ezop'un tek eseridir. Fransız yazar La Fontaine, 12 kitapta topladığı masallarının bazılarında Ezop'tan esinlenmiştir. | Aisopos (Ezop) (MÖ 6. yy), fabl türünün kurucularındandır.
Aiskhylos | Agamemnon | Tragedya |  | - | Truva'yı kuşatıp ele geçiren Yunan Argos kenti kralını anlatır. | Aiskhylos (MÖ 5-6. yy), dünyanın ilk ve en büyük tragedya şairidir. Tragediyadaki aktör sayısını ikiye çıkarıp koro yerine diyalogu ön plana çıkarmıştır. Eserlerinde adaletin gerekliliği üzerinde durmuş, hak meselesini konunun ağırlık merkezine yerleştirmiştir.
Aiskhylos | Zincire Vurulmuş Prometheus | Tragedya |  | - | Olympos tanrılarına başkaldıran Titan Prometheus'un ateşi tanrılardan çalıp insanlara vermesi ve bu yüzden zincire vurulmasını anlatır. Akıl gücünün kaba kuvvete üstünlüğünü, akla ve özgür düşünceye verilmesi gereken önemi vurgular. | -
Aiskhylos | Persler | Tragedya |  | - | Pers Savaşları'nı konu alan tragedyasıdır. | -
Sophokles | Kral Oidipus | Tragedya |  | - | Oidipus, Apollo tarafından lanetlenmiştir; yazgısında babasını öldürüp annesiyle evlenmek vardır. Atalarının işlediği suçların bedelini ödeyen bireyin trajedisini anlatır. Freud'un "Oidipus Kompleksi" adlı psikanalitik kavramı bu eserden gelir. | Sophokles (MÖ 5-6. yy), tragedyaya ahlaki bir derinlik kazandırmıştır. Tragedyadaki aktör sayısını üçe, korodaki şarkıcı sayısını 12'den 15'e çıkarmıştır. Eserlerinde insanlar alınyazılarıyla ve tanrılarla mücadele eder, ancak sonunda yenilen yine insandır. Karakter çözümlemeleri güçlüdür.
Sophokles | Antigone | Tragedya |  | - | Devlet yasaları ile tanrıların kurallarının çatışmasını ve bireysel özgürlüğe inanan kahramanın otoriteye başkaldırışını ele alır. | -
