Aleksandr Puşkin | Yüzbaşının Kızı | Roman |  | - | Pugaçov İsyanı döneminde geçen tarihi ve romantik romanıdır. | Aleksandr Puşkin (19. yy), modern Rus edebiyatının kurucusu kabul edilen şair ve yazardır.
Aleksandr Puşkin | - | - |  | - | - | -
Maksim Gorki | Ana | Roman |  | - | Pavel adlı bir işçinin anası olan Pelage Nilovna'nın kişiliği ve hayatı etrafında işçi devrimi anlatılır. Toplumcu gerçekçiliğin en önemli örneklerindendir. | Maksim Gorki (19-20. yy), Rus ve Sovyet yazardır. Toplumcu gerçekçiliğin kurucusu sayılır. Eserlerinde Rus halkının çektiği sıkıntıları ve devrimci mücadeleyi işlemiştir.
İvan Turgenyev | Babalar ve Oğullar | Roman |  | - | Roman, nihilist Bazarov'u merkeze alarak o dönemin Rusya'sındaki kuşaklar arası çatışmayı ustalıkla anlatır. Nihilizm konusunda yazılmış ilk roman olarak kabul edilir. | İvan Turgenyev (19. yy), Realist bir yazardır. Günlük sorunları ve dönemindeki belli başlı toplumsal olayları ele alır. Rusya'daki devrimci hareketleri işlemiştir.
İvan Turgenyev | Duman | Roman |  | - | Toprak köleliğinin kaldırıldığı 1861 reformlarının ardından belirsizlik ve umutsuzluk dumanına boğulmuş Rus toplumsal hayatını anlatır. Rus aristokrat ve aydınlarını acımasızca alaya alır. | -
İvan Turgenyev | Ham Toprak | Roman |  | - | Duman'la birlikte Rusya'daki devrimci hareketleri konu edinen en sert eserlerinden biridir. | -
İvan Turgenyev | Rudin | Roman |  | - | Etkili konuşan ama eyleme geçemeyen "gereksiz adam" tipini işleyen romanıdır. | -
İvan Turgenyev | Avcının Notları | Hikâye |  | - | Rus toprak köleliğinin acımasızlığını doğa betimlemeleriyle birlikte anlatan öyküler derlemesidir. | -
Fyodor Dostoyevski | Suç ve Ceza | Roman |  | - | Raskolnikov adlı yoksul ve hümanist bir üniversite öğrencisinin ev kirasını ödeyebilmek için borç aldığı yaşlı bir tefeci kadını öldürmesini psikolojik çözümlemeyle ele alır. Sonia ve Dedektif Petroviç, romanın diğer kahramanlarıdır. | Fyodor Dostoyevski (19. yy), toplumdan çok bireyin iç dünyasına eğilen ve onu sosyal çevresi içerisinde anlatan Realist bir yazardır. Psikolojik çözümlemeleri oldukça başarılıdır. "Hepimiz Gogol'ün Palto'sundan çıktık" sözüyle bilinir.
Fyodor Dostoyevski | Karamazov Kardeşler | Roman |  | - | Sefih baba Fyodor Pavloviç'in öldürülmesi etrafında Dmitri (tutku), Ivan (akıl/kuşku), Alyoşa (iman/merhamet) ve gayrimeşru Smerdyakov (nihilizm) çatışmasını izleyen geniş bir aile trajedisidir. "Büyük Engizitör" efsanesiyle özgür irade ve kötülük problemi sorgulanır. | -
Fyodor Dostoyevski | Budala | Roman |  | - | Başkahraman Prens Mişkin, tıpkı yazar gibi sara hastasıdır. İyiliği ve saflığıyla toplumda "budala" olarak nitelenir. Bireyin iç sorunları ve toplum karşısındaki konumu ile platonik aşkın iç dünyadaki yankılarını yoğun biçimde işler. | -
Fyodor Dostoyevski | Yeraltından Notlar | Roman |  | - | Varoluşçu edebiyatın öncü metinlerinden biridir. Yeraltındaki isimsiz anlatıcının öfke dolu, irrasyonel monoloğudur. | -
Fyodor Dostoyevski | Kumarbaz | Roman |  | - | Kumar tutkusunu ve saplantılı aşkı konu alan, bir dönem yazarın kendi hayatından izler taşıyan romanıdır. | -
Fyodor Dostoyevski | Ölüler Evinden Anılar | Anı / Roman |  | - | Sibirya'daki kürek cezası yıllarında edindiği gözlemleri yarı otobiyografik olarak anlattığı eseridir. | -
Fyodor Dostoyevski | İnsancıklar | Roman |  | - | İlk romanıdır; mektup biçimindedir ve ilk Rus toplumsal romanı sayılmıştır. Yoksul bir memur ile bir genç kız arasındaki yazışmaları anlatır. | -
Lev Tolstoy | Savaş ve Barış | Roman |  | - | 19. yüzyılın başlarındaki Napoleon Savaşları sırasında beş asil ailenin (Bezuhovlar, Bolkonskiler, Rostovlar, Kuraginler ve Drubetskoylar) temsilcilerinin yaşamlarından, ilişkilerinden ve Napolyon'un Rusya'yı işgalinin etkisinden bahseder. Önde gelen kişiler: Aleksander Pavloviç, Elena Bezuhova, Andrey Bolkonski ve Nataşa Rostova'dır. | Lev Tolstoy (19-20. yy), ahlaki değerleri öne çıkaran bir sanat anlayışını benimsemiştir. Zengin bir aileden gelmesine rağmen özellikle köylülerin dünyasını anlatır. "Amaçsız sanat olmaz, sanatın başlıca amacı insanlar arasındaki ilişkilerin düzenlenmesine yardım etmektir" düşüncesine sahiptir.
Lev Tolstoy | Anna Karenina | Roman |  | - | Tolstoy, dürüst bir evliliğin mutluluğuyla evlilik dışı, yasak bir aşkın yol açtığı düş kırıklıklarını ve düşüşleri karşılaştırır. Anna Karenina, dönemin üst kademedeki bir memurunun karısıdır; subay Kont Vronski ile yasak aşkı bir tren garında intiharla sonuçlanır. Levin ve Kiti'nin evliliği ise sağlamlaşarak yücelir. | -
Lev Tolstoy | Hacı Murat | Roman |  | - | Rus İmparatorluğu'na karşı savaşmış Çeçen isyancı Hacı Murat'ın kahramanlık öyküsünü anlatır. Savaşın şiddeti ve acımasızlığı işlenir. | -
